,signalerLocation,receiverLocation,intention,signalSpace,targetDictionary,nTargets,barrier,abstractSetup,predSignalNoActionUtility,rotation,revTargetDict,recTraj,recActSeq,sigTraj,sigActSeq
62,"(5, 9)","(5, 3)",orange circle78,"['square', 'orange', 'circle', 'green']","{(1, 2): 'orange square12', (3, 5): 'green circle35', (7, 8): 'orange circle78'}",3,N,DIY,do,180,"{'orange square12': (1, 2), 'green circle35': (3, 5), 'orange circle78': (7, 8)}","{'orange square12': [(5, 3), (4, 3), (3, 3), (2, 3), (1, 3), (1, 2)], 'green circle35': [(5, 3), (4, 3), (3, 3), (3, 4), (3, 5)], 'orange circle78': [(5, 3), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8), (6, 8), (7, 8)]}","{'orange square12': ['left', 'left', 'left', 'left', 'down'], 'green circle35': ['left', 'left', 'up', 'up'], 'orange circle78': ['up', 'up', 'up', 'up', 'up', 'right', 'right']}","{'orange square12': [(5, 9), (5, 8), (5, 7), (5, 6), (5, 5), (5, 4), (5, 3), (5, 2), (4, 2), (3, 2), (2, 2), (1, 2)], 'green circle35': [(5, 9), (4, 9), (3, 9), (3, 8), (3, 7), (3, 6), (3, 5)], 'orange circle78': [(5, 9), (6, 9), (7, 9), (7, 8)]}","{'orange square12': ['down', 'down', 'down', 'down', 'down', 'down', 'down', 'left', 'left', 'left', 'left'], 'green circle35': ['left', 'left', 'down', 'down', 'down', 'down'], 'orange circle78': ['right', 'right', 'down']}"
63,"(9, 4)","(3, 4)",green square75,"['square', 'purple', 'triangle', 'green']","{(1, 2): 'green triangle12', (4, 8): 'purple square48', (7, 5): 'green square75'}",3,N,DIY,do,270,"{'green triangle12': (1, 2), 'purple square48': (4, 8), 'green square75': (7, 5)}","{'green triangle12': [(3, 4), (3, 3), (3, 2), (2, 2), (1, 2)], 'purple square48': [(3, 4), (3, 5), (3, 6), (3, 7), (3, 8), (4, 8)], 'green square75': [(3, 4), (3, 5), (4, 5), (5, 5), (6, 5), (7, 5)]}","{'green triangle12': ['down', 'down', 'left', 'left'], 'purple square48': ['up', 'up', 'up', 'up', 'right'], 'green square75': ['up', 'right', 'right', 'right', 'right']}","{'green triangle12': [(9, 4), (9, 3), (9, 2), (8, 2), (7, 2), (6, 2), (5, 2), (4, 2), (3, 2), (2, 2), (1, 2)], 'purple square48': [(9, 4), (8, 4), (7, 4), (6, 4), (5, 4), (4, 4), (4, 5), (4, 6), (4, 7), (4, 8)], 'green square75': [(9, 4), (8, 4), (7, 4), (7, 5)]}","{'green triangle12': ['down', 'down', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left'], 'purple square48': ['left', 'left', 'left', 'left', 'left', 'up', 'up', 'up', 'up'], 'green square75': ['left', 'left', 'up']}"
64,"(4, 0)","(4, 6)",orange circle31,"['square', 'orange', 'circle', 'green']","{(5, 4): 'green circle54', (1, 5): 'orange square15', (3, 1): 'orange circle31'}",3,N,DIY,do,0,"{'green circle54': (5, 4), 'orange square15': (1, 5), 'orange circle31': (3, 1)}","{'green circle54': [(4, 6), (4, 5), (4, 4), (5, 4)], 'orange square15': [(4, 6), (3, 6), (2, 6), (1, 6), (1, 5)], 'orange circle31': [(4, 6), (4, 5), (4, 4), (4, 3), (4, 2), (4, 1), (3, 1)]}","{'green circle54': ['down', 'down', 'right'], 'orange square15': ['left', 'left', 'left', 'down'], 'orange circle31': ['down', 'down', 'down', 'down', 'down', 'left']}","{'green circle54': [(4, 0), (5, 0), (5, 1), (5, 2), (5, 3), (5, 4)], 'orange square15': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (3, 5), (2, 5), (1, 5)], 'orange circle31': [(4, 0), (4, 1), (3, 1)]}","{'green circle54': ['right', 'up', 'up', 'up', 'up'], 'orange square15': ['up', 'up', 'up', 'up', 'up', 'left', 'left', 'left'], 'orange circle31': ['up', 'left']}"
65,"(0, 5)","(6, 5)",orange square17,"['square', 'orange', 'triangle', 'green']","{(4, 1): 'green square41', (5, 9): 'orange triangle59', (1, 7): 'orange square17'}",3,N,DIY,do,90,"{'green square41': (4, 1), 'orange triangle59': (5, 9), 'orange square17': (1, 7)}","{'green square41': [(6, 5), (5, 5), (4, 5), (4, 4), (4, 3), (4, 2), (4, 1)], 'orange triangle59': [(6, 5), (6, 6), (6, 7), (6, 8), (6, 9), (5, 9)], 'orange square17': [(6, 5), (6, 6), (6, 7), (5, 7), (4, 7), (3, 7), (2, 7), (1, 7)]}","{'green square41': ['left', 'left', 'down', 'down', 'down', 'down'], 'orange triangle59': ['up', 'up', 'up', 'up', 'left'], 'orange square17': ['up', 'up', 'left', 'left', 'left', 'left', 'left']}","{'green square41': [(0, 5), (0, 4), (0, 3), (1, 3), (2, 3), (3, 3), (4, 3), (4, 2), (4, 1)], 'orange triangle59': [(0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (1, 9), (2, 9), (3, 9), (4, 9), (5, 9)], 'orange square17': [(0, 5), (1, 5), (1, 6), (1, 7)]}","{'green square41': ['down', 'down', 'right', 'right', 'right', 'right', 'down', 'down'], 'orange triangle59': ['up', 'up', 'up', 'up', 'right', 'right', 'right', 'right', 'right'], 'orange square17': ['right', 'up', 'up']}"
66,"(5, 9)","(5, 3)",green circle87,"['square', 'circle', 'purple', 'green']","{(3, 0): 'green square30', (4, 5): 'purple circle45', (8, 7): 'green circle87'}",3,N,DIY,do,180,"{'green square30': (3, 0), 'purple circle45': (4, 5), 'green circle87': (8, 7)}","{'green square30': [(5, 3), (4, 3), (3, 3), (3, 2), (3, 1), (3, 0)], 'purple circle45': [(5, 3), (5, 4), (5, 5), (4, 5)], 'green circle87': [(5, 3), (6, 3), (7, 3), (8, 3), (8, 4), (8, 5), (8, 6), (8, 7)]}","{'green square30': ['left', 'left', 'down', 'down', 'down'], 'purple circle45': ['up', 'up', 'left'], 'green circle87': ['right', 'right', 'right', 'up', 'up', 'up', 'up']}","{'green square30': [(5, 9), (5, 8), (5, 7), (5, 6), (5, 5), (5, 4), (5, 3), (5, 2), (5, 1), (5, 0), (4, 0), (3, 0)], 'purple circle45': [(5, 9), (5, 8), (5, 7), (5, 6), (5, 5), (4, 5)], 'green circle87': [(5, 9), (6, 9), (7, 9), (8, 9), (8, 8), (8, 7)]}","{'green square30': ['down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'left', 'left'], 'purple circle45': ['down', 'down', 'down', 'down', 'left'], 'green circle87': ['right', 'right', 'right', 'down', 'down']}"
67,"(9, 4)","(3, 4)",green square74,"['square', 'circle', 'purple', 'green']","{(4, 8): 'green square48', (7, 4): 'green square74', (0, 0): 'purple circle00'}",3,N,DIY,do,270,"{'green square48': (4, 8), 'green square74': (7, 4), 'purple circle00': (0, 0)}","{'green square48': [(3, 4), (4, 4), (4, 5), (4, 6), (4, 7), (4, 8)], 'green square74': [(3, 4), (4, 4), (5, 4), (6, 4), (7, 4)], 'purple circle00': [(3, 4), (3, 3), (3, 2), (3, 1), (3, 0), (2, 0), (1, 0), (0, 0)]}","{'green square48': ['right', 'up', 'up', 'up', 'up'], 'green square74': ['right', 'right', 'right', 'right'], 'purple circle00': ['down', 'down', 'down', 'down', 'left', 'left', 'left']}","{'green square48': [(9, 4), (9, 5), (9, 6), (9, 7), (9, 8), (8, 8), (7, 8), (6, 8), (5, 8), (4, 8)], 'green square74': [(9, 4), (8, 4), (7, 4)], 'purple circle00': [(9, 4), (8, 4), (7, 4), (6, 4), (5, 4), (4, 4), (3, 4), (2, 4), (1, 4), (0, 4), (0, 3), (0, 2), (0, 1), (0, 0)]}","{'green square48': ['up', 'up', 'up', 'up', 'left', 'left', 'left', 'left', 'left'], 'green square74': ['left', 'left'], 'purple circle00': ['left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'down', 'down', 'down', 'down']}"
68,"(4, 0)","(4, 6)",orange triangle42,"['square', 'orange', 'triangle', 'purple']","{(7, 8): 'orange triangle78', (4, 2): 'orange triangle42', (2, 9): 'purple square29'}",3,N,DIY,do,0,"{'orange triangle78': (7, 8), 'orange triangle42': (4, 2), 'purple square29': (2, 9)}","{'orange triangle78': [(4, 6), (5, 6), (6, 6), (7, 6), (7, 7), (7, 8)], 'orange triangle42': [(4, 6), (4, 5), (4, 4), (4, 3), (4, 2)], 'purple square29': [(4, 6), (3, 6), (2, 6), (2, 7), (2, 8), (2, 9)]}","{'orange triangle78': ['right', 'right', 'right', 'up', 'up'], 'orange triangle42': ['down', 'down', 'down', 'down'], 'purple square29': ['left', 'left', 'up', 'up', 'up']}","{'orange triangle78': [(4, 0), (5, 0), (6, 0), (7, 0), (7, 1), (7, 2), (7, 3), (7, 4), (7, 5), (7, 6), (7, 7), (7, 8)], 'orange triangle42': [(4, 0), (4, 1), (4, 2)], 'purple square29': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (4, 6), (4, 7), (4, 8), (4, 9), (3, 9), (2, 9)]}","{'orange triangle78': ['right', 'right', 'right', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up'], 'orange triangle42': ['up', 'up'], 'purple square29': ['up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'left', 'left']}"
69,"(0, 5)","(6, 5)",green square25,"['square', 'orange', 'triangle', 'green']","{(9, 3): 'green square93', (2, 5): 'green square25', (8, 8): 'orange triangle88'}",3,N,DIY,do,90,"{'green square93': (9, 3), 'green square25': (2, 5), 'orange triangle88': (8, 8)}","{'green square93': [(6, 5), (6, 4), (6, 3), (7, 3), (8, 3), (9, 3)], 'green square25': [(6, 5), (5, 5), (4, 5), (3, 5), (2, 5)], 'orange triangle88': [(6, 5), (6, 6), (6, 7), (6, 8), (7, 8), (8, 8)]}","{'green square93': ['down', 'down', 'right', 'right', 'right'], 'green square25': ['left', 'left', 'left', 'left'], 'orange triangle88': ['up', 'up', 'up', 'right', 'right']}","{'green square93': [(0, 5), (0, 4), (0, 3), (1, 3), (2, 3), (3, 3), (4, 3), (5, 3), (6, 3), (7, 3), (8, 3), (9, 3)], 'green square25': [(0, 5), (1, 5), (2, 5)], 'orange triangle88': [(0, 5), (1, 5), (2, 5), (3, 5), (4, 5), (5, 5), (6, 5), (7, 5), (8, 5), (8, 6), (8, 7), (8, 8)]}","{'green square93': ['down', 'down', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right'], 'green square25': ['right', 'right'], 'orange triangle88': ['right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'up', 'up', 'up']}"
70,"(5, 9)","(5, 3)",purple triangle57,"['square', 'orange', 'triangle', 'purple']","{(7, 0): 'purple triangle70', (5, 7): 'purple triangle57', (1, 0): 'orange square10'}",3,N,DIY,do,180,"{'purple triangle70': (7, 0), 'purple triangle57': (5, 7), 'orange square10': (1, 0)}","{'purple triangle70': [(5, 3), (6, 3), (7, 3), (7, 2), (7, 1), (7, 0)], 'purple triangle57': [(5, 3), (5, 4), (5, 5), (5, 6), (5, 7)], 'orange square10': [(5, 3), (4, 3), (3, 3), (2, 3), (1, 3), (1, 2), (1, 1), (1, 0)]}","{'purple triangle70': ['right', 'right', 'down', 'down', 'down'], 'purple triangle57': ['up', 'up', 'up', 'up'], 'orange square10': ['left', 'left', 'left', 'left', 'down', 'down', 'down']}","{'purple triangle70': [(5, 9), (5, 8), (5, 7), (5, 6), (5, 5), (5, 4), (5, 3), (5, 2), (5, 1), (5, 0), (6, 0), (7, 0)], 'purple triangle57': [(5, 9), (5, 8), (5, 7)], 'orange square10': [(5, 9), (5, 8), (5, 7), (5, 6), (5, 5), (5, 4), (5, 3), (5, 2), (5, 1), (5, 0), (4, 0), (3, 0), (2, 0), (1, 0)]}","{'purple triangle70': ['down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'right', 'right'], 'purple triangle57': ['down', 'down'], 'orange square10': ['down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'left', 'left', 'left', 'left']}"
71,"(9, 4)","(3, 4)",green triangle74,"['square', 'orange', 'triangle', 'green']","{(0, 1): 'green triangle01', (7, 4): 'green triangle74', (1, 8): 'orange square18'}",3,N,DIY,do,270,"{'green triangle01': (0, 1), 'green triangle74': (7, 4), 'orange square18': (1, 8)}","{'green triangle01': [(3, 4), (2, 4), (1, 4), (0, 4), (0, 3), (0, 2), (0, 1)], 'green triangle74': [(3, 4), (4, 4), (5, 4), (6, 4), (7, 4)], 'orange square18': [(3, 4), (3, 5), (3, 6), (3, 7), (3, 8), (2, 8), (1, 8)]}","{'green triangle01': ['left', 'left', 'left', 'down', 'down', 'down'], 'green triangle74': ['right', 'right', 'right', 'right'], 'orange square18': ['up', 'up', 'up', 'up', 'left', 'left']}","{'green triangle01': [(9, 4), (8, 4), (7, 4), (6, 4), (5, 4), (4, 4), (3, 4), (2, 4), (1, 4), (0, 4), (0, 3), (0, 2), (0, 1)], 'green triangle74': [(9, 4), (8, 4), (7, 4)], 'orange square18': [(9, 4), (8, 4), (7, 4), (6, 4), (5, 4), (4, 4), (4, 5), (4, 6), (4, 7), (4, 8), (3, 8), (2, 8), (1, 8)]}","{'green triangle01': ['left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'down', 'down', 'down'], 'green triangle74': ['left', 'left'], 'orange square18': ['left', 'left', 'left', 'left', 'left', 'up', 'up', 'up', 'up', 'left', 'left', 'left']}"
72,"(4, 0)","(4, 6)",purple square42,"['square', 'orange', 'circle', 'purple']","{(0, 4): 'purple square04', (4, 2): 'purple square42', (8, 4): 'orange circle84'}",3,N,DIY,do,0,"{'purple square04': (0, 4), 'purple square42': (4, 2), 'orange circle84': (8, 4)}","{'purple square04': [(4, 6), (3, 6), (2, 6), (1, 6), (0, 6), (0, 5), (0, 4)], 'purple square42': [(4, 6), (4, 5), (4, 4), (4, 3), (4, 2)], 'orange circle84': [(4, 6), (5, 6), (6, 6), (7, 6), (8, 6), (8, 5), (8, 4)]}","{'purple square04': ['left', 'left', 'left', 'left', 'down', 'down'], 'purple square42': ['down', 'down', 'down', 'down'], 'orange circle84': ['right', 'right', 'right', 'right', 'down', 'down']}","{'purple square04': [(4, 0), (3, 0), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (1, 4), (0, 4)], 'purple square42': [(4, 0), (4, 1), (4, 2)], 'orange circle84': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (5, 4), (6, 4), (7, 4), (8, 4)]}","{'purple square04': ['left', 'left', 'up', 'up', 'up', 'up', 'left', 'left'], 'purple square42': ['up', 'up'], 'orange circle84': ['up', 'up', 'up', 'up', 'right', 'right', 'right', 'right']}"
73,"(0, 5)","(6, 5)",orange triangle14,"['orange', 'circle', 'triangle', 'purple']","{(8, 9): 'purple triangle89', (1, 4): 'orange triangle14', (5, 1): 'orange circle51'}",3,N,DIY,do,90,"{'purple triangle89': (8, 9), 'orange triangle14': (1, 4), 'orange circle51': (5, 1)}","{'purple triangle89': [(6, 5), (7, 5), (8, 5), (8, 6), (8, 7), (8, 8), (8, 9)], 'orange triangle14': [(6, 5), (5, 5), (4, 5), (3, 5), (2, 5), (1, 5), (1, 4)], 'orange circle51': [(6, 5), (5, 5), (5, 4), (5, 3), (5, 2), (5, 1)]}","{'purple triangle89': ['right', 'right', 'up', 'up', 'up', 'up'], 'orange triangle14': ['left', 'left', 'left', 'left', 'left', 'down'], 'orange circle51': ['left', 'down', 'down', 'down', 'down']}","{'purple triangle89': [(0, 5), (1, 5), (2, 5), (3, 5), (4, 5), (5, 5), (6, 5), (7, 5), (8, 5), (8, 6), (8, 7), (8, 8), (8, 9)], 'orange triangle14': [(0, 5), (0, 4), (1, 4)], 'orange circle51': [(0, 5), (0, 4), (1, 4), (2, 4), (3, 4), (4, 4), (5, 4), (5, 3), (5, 2), (5, 1)]}","{'purple triangle89': ['right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'up', 'up', 'up', 'up'], 'orange triangle14': ['down', 'right'], 'orange circle51': ['down', 'right', 'right', 'right', 'right', 'right', 'down', 'down', 'down']}"
74,"(5, 9)","(5, 3)",purple square67,"['square', 'orange', 'circle', 'purple']","{(1, 2): 'purple circle12', (6, 7): 'purple square67', (7, 0): 'orange square70'}",3,N,DIY,do,180,"{'purple circle12': (1, 2), 'purple square67': (6, 7), 'orange square70': (7, 0)}","{'purple circle12': [(5, 3), (4, 3), (3, 3), (2, 3), (1, 3), (1, 2)], 'purple square67': [(5, 3), (5, 4), (5, 5), (5, 6), (5, 7), (6, 7)], 'orange square70': [(5, 3), (5, 2), (5, 1), (5, 0), (6, 0), (7, 0)]}","{'purple circle12': ['left', 'left', 'left', 'left', 'down'], 'purple square67': ['up', 'up', 'up', 'up', 'right'], 'orange square70': ['down', 'down', 'down', 'right', 'right']}","{'purple circle12': [(5, 9), (4, 9), (3, 9), (2, 9), (1, 9), (1, 8), (1, 7), (1, 6), (1, 5), (1, 4), (1, 3), (1, 2)], 'purple square67': [(5, 9), (6, 9), (6, 8), (6, 7)], 'orange square70': [(5, 9), (5, 8), (5, 7), (5, 6), (5, 5), (5, 4), (5, 3), (5, 2), (5, 1), (5, 0), (6, 0), (7, 0)]}","{'purple circle12': ['left', 'left', 'left', 'left', 'down', 'down', 'down', 'down', 'down', 'down', 'down'], 'purple square67': ['right', 'down', 'down'], 'orange square70': ['down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'right', 'right']}"
75,"(9, 4)","(3, 4)",purple triangle73,"['square', 'orange', 'triangle', 'purple']","{(2, 0): 'purple square20', (7, 3): 'purple triangle73', (2, 8): 'orange triangle28'}",3,N,DIY,do,270,"{'purple square20': (2, 0), 'purple triangle73': (7, 3), 'orange triangle28': (2, 8)}","{'purple square20': [(3, 4), (2, 4), (2, 3), (2, 2), (2, 1), (2, 0)], 'purple triangle73': [(3, 4), (4, 4), (5, 4), (6, 4), (7, 4), (7, 3)], 'orange triangle28': [(3, 4), (3, 5), (3, 6), (3, 7), (3, 8), (2, 8)]}","{'purple square20': ['left', 'down', 'down', 'down', 'down'], 'purple triangle73': ['right', 'right', 'right', 'right', 'down'], 'orange triangle28': ['up', 'up', 'up', 'up', 'left']}","{'purple square20': [(9, 4), (9, 3), (9, 2), (9, 1), (9, 0), (8, 0), (7, 0), (6, 0), (5, 0), (4, 0), (3, 0), (2, 0)], 'purple triangle73': [(9, 4), (9, 3), (8, 3), (7, 3)], 'orange triangle28': [(9, 4), (9, 5), (9, 6), (9, 7), (9, 8), (8, 8), (7, 8), (6, 8), (5, 8), (4, 8), (3, 8), (2, 8)]}","{'purple square20': ['down', 'down', 'down', 'down', 'left', 'left', 'left', 'left', 'left', 'left', 'left'], 'purple triangle73': ['down', 'left', 'left'], 'orange triangle28': ['up', 'up', 'up', 'up', 'left', 'left', 'left', 'left', 'left', 'left', 'left']}"
76,"(4, 0)","(4, 6)",purple circle42,"['orange', 'circle', 'triangle', 'purple']","{(2, 4): 'purple triangle24', (4, 2): 'purple circle42', (8, 4): 'orange circle84'}",3,N,DIY,do,0,"{'purple triangle24': (2, 4), 'purple circle42': (4, 2), 'orange circle84': (8, 4)}","{'purple triangle24': [(4, 6), (3, 6), (2, 6), (2, 5), (2, 4)], 'purple circle42': [(4, 6), (4, 5), (4, 4), (4, 3), (4, 2)], 'orange circle84': [(4, 6), (5, 6), (6, 6), (7, 6), (8, 6), (8, 5), (8, 4)]}","{'purple triangle24': ['left', 'left', 'down', 'down'], 'purple circle42': ['down', 'down', 'down', 'down'], 'orange circle84': ['right', 'right', 'right', 'right', 'down', 'down']}","{'purple triangle24': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (3, 4), (2, 4)], 'purple circle42': [(4, 0), (4, 1), (4, 2)], 'orange circle84': [(4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (8, 1), (8, 2), (8, 3), (8, 4)]}","{'purple triangle24': ['up', 'up', 'up', 'up', 'left', 'left'], 'purple circle42': ['up', 'up'], 'orange circle84': ['right', 'right', 'right', 'right', 'up', 'up', 'up', 'up']}"
77,"(0, 5)","(6, 5)",purple circle17,"['square', 'circle', 'purple', 'green']","{(9, 9): 'green circle99', (1, 7): 'purple circle17', (7, 1): 'purple square71'}",3,N,DIY,do,90,"{'green circle99': (9, 9), 'purple circle17': (1, 7), 'purple square71': (7, 1)}","{'green circle99': [(6, 5), (7, 5), (8, 5), (9, 5), (9, 6), (9, 7), (9, 8), (9, 9)], 'purple circle17': [(6, 5), (6, 6), (6, 7), (5, 7), (4, 7), (3, 7), (2, 7), (1, 7)], 'purple square71': [(6, 5), (7, 5), (7, 4), (7, 3), (7, 2), (7, 1)]}","{'green circle99': ['right', 'right', 'right', 'up', 'up', 'up', 'up'], 'purple circle17': ['up', 'up', 'left', 'left', 'left', 'left', 'left'], 'purple square71': ['right', 'down', 'down', 'down', 'down']}","{'green circle99': [(0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (1, 9), (2, 9), (3, 9), (4, 9), (5, 9), (6, 9), (7, 9), (8, 9), (9, 9)], 'purple circle17': [(0, 5), (0, 6), (0, 7), (1, 7)], 'purple square71': [(0, 5), (0, 4), (0, 3), (0, 2), (0, 1), (1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1)]}","{'green circle99': ['up', 'up', 'up', 'up', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right'], 'purple circle17': ['up', 'up', 'right'], 'purple square71': ['down', 'down', 'down', 'down', 'right', 'right', 'right', 'right', 'right', 'right', 'right']}"
78,"(5, 9)","(5, 3)",green square57,"['square', 'circle', 'purple', 'green']","{(9, 3): 'green circle93', (5, 7): 'green square57', (2, 2): 'purple square22'}",3,N,DIY,do,180,"{'green circle93': (9, 3), 'green square57': (5, 7), 'purple square22': (2, 2)}","{'green circle93': [(5, 3), (6, 3), (7, 3), (8, 3), (9, 3)], 'green square57': [(5, 3), (5, 4), (5, 5), (5, 6), (5, 7)], 'purple square22': [(5, 3), (5, 2), (4, 2), (3, 2), (2, 2)]}","{'green circle93': ['right', 'right', 'right', 'right'], 'green square57': ['up', 'up', 'up', 'up'], 'purple square22': ['down', 'left', 'left', 'left']}","{'green circle93': [(5, 9), (6, 9), (7, 9), (8, 9), (9, 9), (9, 8), (9, 7), (9, 6), (9, 5), (9, 4), (9, 3)], 'green square57': [(5, 9), (5, 8), (5, 7)], 'purple square22': [(5, 9), (4, 9), (3, 9), (2, 9), (2, 8), (2, 7), (2, 6), (2, 5), (2, 4), (2, 3), (2, 2)]}","{'green circle93': ['right', 'right', 'right', 'right', 'down', 'down', 'down', 'down', 'down', 'down'], 'green square57': ['down', 'down'], 'purple square22': ['left', 'left', 'left', 'down', 'down', 'down', 'down', 'down', 'down', 'down']}"
79,"(9, 4)","(3, 4)",purple square74,"['square', 'orange', 'triangle', 'purple']","{(1, 2): 'purple triangle12', (7, 4): 'purple square74', (0, 6): 'orange square06'}",3,N,DIY,do,270,"{'purple triangle12': (1, 2), 'purple square74': (7, 4), 'orange square06': (0, 6)}","{'purple triangle12': [(3, 4), (2, 4), (1, 4), (1, 3), (1, 2)], 'purple square74': [(3, 4), (4, 4), (5, 4), (6, 4), (7, 4)], 'orange square06': [(3, 4), (2, 4), (1, 4), (0, 4), (0, 5), (0, 6)]}","{'purple triangle12': ['left', 'left', 'down', 'down'], 'purple square74': ['right', 'right', 'right', 'right'], 'orange square06': ['left', 'left', 'left', 'up', 'up']}","{'purple triangle12': [(9, 4), (8, 4), (7, 4), (6, 4), (5, 4), (4, 4), (3, 4), (2, 4), (1, 4), (1, 3), (1, 2)], 'purple square74': [(9, 4), (8, 4), (7, 4)], 'orange square06': [(9, 4), (9, 5), (9, 6), (8, 6), (7, 6), (6, 6), (5, 6), (4, 6), (3, 6), (2, 6), (1, 6), (0, 6)]}","{'purple triangle12': ['left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'down', 'down'], 'purple square74': ['left', 'left'], 'orange square06': ['up', 'up', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left']}"
